City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,san carlos de bariloche,-41.1456,-71.3082,9.86,43,40,13.38,AR,1681757785
318,teahupoo,-17.8333,-149.2667,25.98,79,100,4.55,PF,1681757785
319,dubti,11.7361,41.0853,33.42,35,6,4.38,ET,1681757785
320,longjiang,47.3303,123.1836,8.97,43,100,8.31,CN,1681757786
321,goure,13.9835,10.2704,32.41,10,87,3.14,NE,1681757787
322,monte carmelo,-18.7247,-47.4986,26.42,61,0,2.72,BR,1681757787
323,altay,47.8667,88.1167,4.5,78,100,0.84,CN,1681757787
324,lakatoro,-16.0999,167.4164,26.38,82,100,4.08,VU,1681757788
325,malanje,-9.5402,16.341,17.49,98,100,1.66,AO,1681757789
326,port hedland,-20.3167,118.5667,18.03,55,19,3.6,AU,1681757789
327,san jose,37.3394,-121.895,15.56,59,100,5.66,US,1681757638
328,norsup,-16.0667,167.3833,26.42,82,100,4.17,VU,1681757790
329,san ramon de la nueva oran,-23.1322,-64.326,21.35,93,100,0.58,AR,1681757791
330,fortuna,40.5982,-124.1573,12.03,72,100,2.24,US,1681757614
331,turka,49.1541,23.0297,7.11,95,100,4.49,UA,1681757794
332,vila do maio,15.1333,-23.2167,26.44,82,44,8.31,CV,1681757795
333,alliance,40.9153,-81.1059,6.78,80,100,8.41,US,1681757743
334,muros,42.7762,-9.0603,20.61,69,15,2.08,ES,1681757796
335,amahai,-3.3333,128.9167,25.83,86,100,1.63,ID,1681757796
336,bonthe,7.5264,-12.505,28.2,77,43,3.81,SL,1681757520
337,rietberg,51.8,8.4333,10.9,76,59,3.71,DE,1681757797
338,mizdah,31.4451,12.9801,16.82,40,0,6.48,LY,1681757797
339,grindavik,63.8424,-22.4338,9.97,93,75,12.35,IS,1681757798
340,san cristobal,7.7669,-72.225,22.1,76,95,1.01,VE,1681757798
341,maniitsoq,65.4167,-52.9,-1.37,76,11,8.97,GL,1681757798
342,longyearbyen,78.2186,15.6401,-5.09,86,75,13.38,SJ,1681757799
343,roald,62.5833,6.1333,11.51,71,0,2.57,NO,1681757799
344,sinnamary,5.3833,-52.95,26.23,88,100,5.19,GF,1681757799
345,sao joao do piaui,-8.3581,-42.2467,35.98,26,100,3.29,BR,1681757800
346,mezhdurechensk,53.6942,88.0603,-4.65,93,100,5.05,RU,1681757532
347,floro,61.5996,5.0328,12.35,62,0,3.09,NO,1681757800
348,saint-georges,12.0564,-61.7485,28.82,70,40,8.23,GD,1681757801
349,mount isa,-20.7333,139.5,17.87,48,0,4.12,AU,1681757801
350,dalby,-27.1833,151.2667,16.65,80,0,6.55,AU,1681757801
351,vodnyy,63.5046,53.4095,-5.29,99,61,1.64,RU,1681757801
352,verkhoyansk,67.5447,133.385,-5.86,97,100,0.97,RU,1681757802
353,abalak,58.1286,68.5944,-5.85,55,31,2.46,RU,1681757802
354,venadillo,4.7193,-74.9292,27.71,67,80,1.88,CO,1681757802
355,rincon,32.296,-81.2354,24.39,18,75,8.23,US,1681757803
356,kulhudhuffushi,6.6221,73.07,28.52,71,5,1.03,MV,1681757804
357,ondjiva,-17.0667,15.7333,26.02,34,100,1.54,AO,1681757805
358,gorontalo,0.5412,123.0595,23.76,94,77,1.48,ID,1681757805
